,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
531,Lotto 6/42,24 08 2023,"10,410,422.60",0,19,31,36,8,21,38
539,Grand Lotto 6/55,23 08 2023,"79,392,769.80",0,18,12,29,7,28,50
540,Megalotto 6/45,23 08 2023,"84,909,679.00",0,26,43,13,42,45,39
548,Ultra Lotto 6/58,22 08 2023,"49,500,000.00",0,38,15,11,55,10,52
549,Superlotto 6/49,22 08 2023,"15,840,000.00",0,37,24,20,40,38,10
550,Lotto 6/42,22 08 2023,"6,796,188.00",0,21,18,10,24,14,38
558,Grand Lotto 6/55,21 08 2023,"74,343,965.40",0,23,25,1,26,14,28
559,Megalotto 6/45,21 08 2023,"77,430,278.40",0,33,45,9,32,35,13
567,Ultra Lotto 6/58,20 08 2023,"49,500,000.00",0,15,2,20,57,19,10
568,Superlotto 6/49,20 08 2023,"15,840,000.00",0,7,35,4,30,12,14
575,Grand Lotto 6/55,19 08 2023,"69,673,192.60",0,41,39,14,9,31,4
576,Lotto 6/42,19 08 2023,"5,940,000.00",0,35,8,24,39,25,30
584,Ultra Lotto 6/58,18 08 2023,"49,500,000.00",0,3,36,38,25,23,22
585,Megalotto 6/45,18 08 2023,"70,247,013.00",0,42,45,11,10,36,17
593,Superlotto 6/49,17 08 2023,"15,840,000.00",0,7,29,13,4,10,3
594,Lotto 6/42,17 08 2023,"18,611,973.40",1,27,10,36,9,22,7
602,Grand Lotto 6/55,16 08 2023,"63,909,024.20",0,7,11,6,15,49,12
603,Megalotto 6/45,16 08 2023,"63,119,481.60",0,3,4,5,40,35,44
611,Ultra Lotto 6/58,15 08 2023,"49,500,000.00",0,26,41,30,22,13,31
612,Superlotto 6/49,15 08 2023,"31,725,228.00",2,12,5,1,30,9,14
613,Lotto 6/42,15 08 2023,"14,070,525.20",0,22,17,13,20,18,1
621,Grand Lotto 6/55,14 08 2023,"59,204,304.20",0,4,3,33,7,20,22
622,Megalotto 6/45,14 08 2023,"56,890,798.00",0,2,44,39,20,37,28
630,Ultra Lotto 6/58,13 08 2023,"49,500,000.00",0,31,15,7,37,24,25
631,Superlotto 6/49,13 08 2023,"28,066,279.40",0,35,20,3,32,45,31
638,Grand Lotto 6/55,12 08 2023,"54,832,296.20",0,54,55,26,45,43,24
639,Lotto 6/42,12 08 2023,"10,518,904.20",0,36,10,24,31,13,12
647,Ultra Lotto 6/58,11 08 2023,"49,500,000.00",1,50,46,57,40,4,19
648,Megalotto 6/45,11 08 2023,"50,807,683.60",0,10,13,42,1,6,24
656,Superlotto 6/49,10 08 2023,"23,593,560.40",0,4,46,45,33,29,47
657,Lotto 6/42,10 08 2023,"6,746,203.00",0,15,5,31,18,4,26
665,Grand Lotto 6/55,9 08 2023,"49,642,026.40",0,16,1,6,34,2,38
666,Megalotto 6/45,9 08 2023,"44,869,779.60",0,4,3,39,38,44,12
674,Ultra Lotto 6/58,8 08 2023,"87,051,450.20",1,18,22,30,55,26,5
675,Superlotto 6/49,8 08 2023,"19,066,787.80",0,45,1,28,33,19,12
676,Lotto 6/42,8 08 2023,"5,940,000.00",0,14,24,36,37,23,41
