LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS
2D Lotto 9PM,7 May,6/27/2018,4000.00,630
2D Lotto 2PM,13 Jul,6/27/2018,4000.00,218
2D Lotto 5PM,12 Dec,6/27/2018,4000.00,309
Grand Lotto 6/55,20-14-48-03-12-40,6/27/2018,29700000.00,0
Superlotto 6/49,03-04-35-21-22-33,6/26/2018,15840000.00,0
6D Lotto,3-2-5-5-5-7,6/26/2018,1235785.62,0
3D Lotto 2PM,7 03 2009,6/26/2018,4500.00,439
3D Lotto 5PM,1-0-1,6/26/2018,4500.00,1148
3D Lotto 9PM,7 07 2002,6/26/2018,4500.00,849
2D Lotto 9PM,Mar 26,6/26/2018,4000.00,584
Lotto 6/42,27-15-07-39-26-19,6/26/2018,31885774.00,1
2D Lotto 2PM,27 Apr,6/26/2018,4000.00,126
2D Lotto 5PM,Sep 30,6/26/2018,4000.00,195
Ultra Lotto 6/58,55-34-16-31-40-23,6/26/2018,199715276.00,0
Megalotto 6/45,20-36-42-33-38-19,6/25/2018,38903551.00,0
4D Lotto,3-8-5-8,6/25/2018,22269.00,31
3D Lotto 2PM,8 04 2009,6/25/2018,4500.00,276
3D Lotto 5PM,8 03 2003,6/25/2018,4500.00,490
3D Lotto 9PM,8 08 2002,6/25/2018,4500.00,340
2D Lotto 9PM,24-24,6/25/2018,4000.00,681
2D Lotto 2PM,Jul 26,6/25/2018,4000.00,264
2D Lotto 5PM,31 Oct,6/25/2018,4000.00,121
Grand Lotto 6/55,24-50-06-40-22-44,6/25/2018,29700000.00,0
Superlotto 6/49,09-16-02-10-49-21,6/24/2018,15840000.00,0
3D Lotto 2PM,2 08 2008,6/24/2018,4500.00,626
3D Lotto 5PM,5-0-5,6/24/2018,4500.00,503
3D Lotto 9PM,1 02 2005,6/24/2018,4500.00,1227
2D Lotto 9PM,25-31,6/24/2018,4000.00,404
2D Lotto 2PM,24 May,6/24/2018,4000.00,224
2D Lotto 5PM,19-15,6/24/2018,4000.00,132
Ultra Lotto 6/58,17-24-10-58-25-11,6/24/2018,193938284.00,0
6D Lotto,9-0-8-8-5-8,6/23/2018,1017371.00,0
3D Lotto 2PM,5 05 2003,6/23/2018,4500.00,751
3D Lotto 5PM,2 07 2000,6/23/2018,4500.00,243
3D Lotto 9PM,9 07 2005,6/23/2018,4500.00,1233
2D Lotto 9PM,24-19,6/23/2018,4000.00,484
Lotto 6/42,08-27-32-20-40-42,6/23/2018,28804106.00,0
2D Lotto 2PM,15-16,6/23/2018,4000.00,176
2D Lotto 5PM,23-19,6/23/2018,4000.00,120
Grand Lotto 6/55,29-48-52-19-55-05,6/23/2018,29700000.00,0
Megalotto 6/45,18-10-04-38-11-20,6/22/2018,35269602.00,0
4D Lotto,4-5-8-9,6/22/2018,53912.00,18
3D Lotto 2PM,9 07 2007,6/22/2018,4500.00,608
3D Lotto 5PM,3 04 2003,6/22/2018,4500.00,361
3D Lotto 9PM,3 02 2000,6/22/2018,4500.00,1154
2D Lotto 9PM,17-24,6/22/2018,4000.00,539
2D Lotto 2PM,21-29,6/22/2018,4000.00,204
2D Lotto 5PM,Nov 29,6/22/2018,4000.00,274
Ultra Lotto 6/58,03-22-52-50-47-44,6/22/2018,187796520.00,0
Superlotto 6/49,07-11-18-29-19-02,6/21/2018,15840000.00,0
6D Lotto,7-0-8-1-6-3,6/21/2018,583017.50,0
3D Lotto 2PM,8 07 2007,6/21/2018,4500.00,424
3D Lotto 5PM,1 08 2006,6/21/2018,4500.00,739
3D Lotto 9PM,0-3-4,6/21/2018,4500.00,613
2D Lotto 9PM,23 Jul,6/21/2018,4000.00,452
Lotto 6/42,30-01-23-39-16-08,6/21/2018,25485111.00,0
2D Lotto 2PM,12 Aug,6/21/2018,4000.00,266
2D Lotto 5PM,24-15,6/21/2018,4000.00,96
Megalotto 6/45,09-20-01-43-26-18,6/20/2018,31919735.00,0
4D Lotto,2-8-7-2,6/20/2018,47345.00,20
3D Lotto 2PM,3 05 2002,6/20/2018,4500.00,726
3D Lotto 5PM,5 08 2009,6/20/2018,4500.00,264
3D Lotto 9PM,6 04 2003,6/20/2018,4500.00,684
2D Lotto 9PM,10 Oct,6/20/2018,4000.00,874
2D Lotto 2PM,14-28,6/20/2018,4000.00,242
2D Lotto 5PM,Nov 15,6/20/2018,4000.00,297
Grand Lotto 6/55,02-27-19-18-34-12,6/20/2018,29700000.00,0
Superlotto 6/49,45-08-44-29-17-32,6/19/2018,15840000.00,0
6D Lotto,9-2-3-4-5-3,6/19/2018,248726.08,0
3D Lotto 2PM,5-0-8,6/19/2018,4500.00,676
3D Lotto 5PM,0-1-0,6/19/2018,4500.00,771
3D Lotto 9PM,0-7-5,6/19/2018,4500.00,605
2D Lotto 9PM,13 Aug,6/19/2018,4000.00,443
Lotto 6/42,30-32-34-24-39-11,6/19/2018,22363847.00,0
2D Lotto 2PM,21 Jul,6/19/2018,4000.00,239
2D Lotto 5PM,29 Sep,6/19/2018,4000.00,209
Ultra Lotto 6/58,49-57-52-28-03-06,6/19/2018,181477292.00,0
Megalotto 6/45,31-45-34-11-16-17,6/18/2018,28667648.00,0
4D Lotto,2-4-2-1,6/18/2018,10453.00,56
3D Lotto 2PM,8 05 2002,6/18/2018,4500.00,346
3D Lotto 5PM,3 02 2002,6/18/2018,4500.00,691
3D Lotto 9PM,7-0-4,6/18/2018,4500.00,963
2D Lotto 9PM,28-17,6/18/2018,4000.00,164
2D Lotto 2PM,Dec 13,6/18/2018,4000.00,235
2D Lotto 5PM,16-30,6/18/2018,4000.00,136
Grand Lotto 6/55,48-41-39-08-09-27,6/18/2018,29700000.00,0
Superlotto 6/49,19-06-20-34-08-13,6/17/2018,50997870.00,1
3D Lotto 2PM,7 09 2008,6/17/2018,4500.00,666
3D Lotto 5PM,2 02 2004,6/17/2018,4500.00,596
3D Lotto 9PM,4 07 2006,6/17/2018,4500.00,823
2D Lotto 9PM,Oct 23,6/17/2018,4000.00,616
2D Lotto 2PM,Apr 27,6/17/2018,4000.00,183
2D Lotto 5PM,17-14,6/17/2018,4000.00,245
Ultra Lotto 6/58,46-01-05-11-07-21,6/17/2018,176027440.00,0
6D Lotto,0-0-9-2-3-3,6/16/2018,414959.00,1
3D Lotto 2PM,5 04 2005,6/16/2018,4500.00,548
3D Lotto 5PM,7 05 2005,6/16/2018,4500.00,587
3D Lotto 9PM,7 06 2009,6/16/2018,4500.00,798
2D Lotto 9PM,9 Jun,6/16/2018,4000.00,653
Lotto 6/42,08-41-23-38-02-29,6/16/2018,19553914.00,0
2D Lotto 2PM,25-21,6/16/2018,4000.00,49
2D Lotto 5PM,29-23,6/16/2018,4000.00,112
Grand Lotto 6/55,20-15-25-33-30-09,6/16/2018,29700000.00,0
Megalotto 6/45,36-33-43-45-04-16,6/15/2018,25251439.00,0
4D Lotto,7-0-8-5,6/15/2018,100914.00,10
3D Lotto 2PM,1 05 2001,6/15/2018,4500.00,1021
3D Lotto 5PM,7-0-2,6/15/2018,4500.00,1142
3D Lotto 9PM,2 01 2002,6/15/2018,4500.00,1226
2D Lotto 9PM,20-20,6/15/2018,4000.00,727
2D Lotto 2PM,5 Jul,6/15/2018,4000.00,291
2D Lotto 5PM,18-17,6/15/2018,4000.00,53
Ultra Lotto 6/58,07-56-37-17-49-11,6/15/2018,170217528.00,0
Superlotto 6/49,48-46-23-49-27-16,6/14/2018,47283093.00,0
6D Lotto,8-4-6-9-1-1,6/14/2018,13725184.00,1
3D Lotto 2PM,9 02 2006,6/14/2018,4500.00,443
3D Lotto 5PM,5 05 2009,6/14/2018,4500.00,245
3D Lotto 9PM,3 08 2000,6/14/2018,4500.00,394
2D Lotto 9PM,30 Sep,6/14/2018,4000.00,153
Lotto 6/42,03-02-21-10-36-24,6/14/2018,16562542.00,0
2D Lotto 2PM,Mar 24,6/14/2018,4000.00,115
2D Lotto 5PM,6 Jul,6/14/2018,4000.00,268
Megalotto 6/45,06-09-14-32-41-04,6/13/2018,22135779.00,0
4D Lotto,6-5-4-0,6/13/2018,81400.00,11
3D Lotto 2PM,8 09 2004,6/13/2018,4500.00,469
3D Lotto 5PM,0-1-4,6/13/2018,4500.00,380
3D Lotto 9PM,0-7-1,6/13/2018,4500.00,486
2D Lotto 9PM,9 Sep,6/13/2018,4000.00,779
2D Lotto 2PM,19-28,6/13/2018,4000.00,197
2D Lotto 5PM,2 Jan,6/13/2018,4000.00,268
Grand Lotto 6/55,29-20-42-41-48-55,6/13/2018,29700000.00,0
Superlotto 6/49,03-17-23-43-09-32,6 12 2018,43550698.00,0
6D Lotto,9-8-4-8-4-8,6 12 2018,13297192.82,0
3D Lotto 2PM,8 04 2004,6 12 2018,4500.00,322
3D Lotto 5PM,5 05 2001,6 12 2018,4500.00,218
3D Lotto 9PM,0-4-9,6 12 2018,4500.00,358
2D Lotto 9PM,23 Aug,6 12 2018,4000.00,337
Lotto 6/42,36-20-35-30-05-14,6 12 2018,13911366.00,0
2D Lotto 2PM,9 Jul,6 12 2018,4000.00,238
2D Lotto 5PM,3 Apr,6 12 2018,4000.00,232
Ultra Lotto 6/58,48-18-57-09-28-53,6 12 2018,164144492.00,0
Megalotto 6/45,01-32-33-39-28-40,6 11 2018,19214843.00,0
4D Lotto,0-7-7-2,6 11 2018,33205.00,27
3D Lotto 2PM,9 09 2008,6 11 2018,4500.00,474
3D Lotto 5PM,0-0-7,6 11 2018,4500.00,284
3D Lotto 9PM,8 01 2007,6 11 2018,4500.00,940
2D Lotto 9PM,19-21,6 11 2018,4000.00,318
2D Lotto 2PM,20-23,6 11 2018,4000.00,84
2D Lotto 5PM,18-31,6 11 2018,4000.00,86
Grand Lotto 6/55,11-19-48-06-23-20,6 11 2018,29700000.00,0
Superlotto 6/49,22-30-29-48-08-21,6 10 2018,40879817.00,0
3D Lotto 2PM,9 01 2008,6 10 2018,4500.00,629
3D Lotto 5PM,4 08 2008,6 10 2018,4500.00,213
3D Lotto 9PM,4 07 2005,6 10 2018,4500.00,484
2D Lotto 9PM,Aug 26,6 10 2018,4000.00,604
2D Lotto 2PM,Jul 19,6 10 2018,4000.00,248
2D Lotto 5PM,28 Apr,6 10 2018,4000.00,186
Ultra Lotto 6/58,54-22-17-08-48-05,6 10 2018,159440596.00,0
6D Lotto,9-5-5-1-1-1,6 09 2018,12808884.94,0
3D Lotto 2PM,7 02 2004,6 09 2018,4500.00,420
3D Lotto 5PM,0-6-6,6 09 2018,4500.00,283
3D Lotto 9PM,1 05 2005,6 09 2018,4500.00,960
2D Lotto 9PM,Aug 18,6 09 2018,4000.00,631
Lotto 6/42,21-22-30-37-40-12,6 09 2018,11671427.00,0
2D Lotto 2PM,Jul 29,6 09 2018,4000.00,203
2D Lotto 5PM,23-27,6 09 2018,4000.00,143
Grand Lotto 6/55,41-10-38-47-26-19,6 09 2018,29700000.00,0
Megalotto 6/45,24-03-35-34-06-07,6 08 2018,16279913.00,0
4D Lotto,8-4-3-0,6 08 2018,20588.00,26
3D Lotto 2PM,0-4-8,6 08 2018,4500.00,433
3D Lotto 5PM,5 05 2002,6 08 2018,4500.00,905
3D Lotto 9PM,5 01 2003,6 08 2018,4500.00,1225
2D Lotto 9PM,Feb 14,6 08 2018,4000.00,535
2D Lotto 2PM,20 Nov,6 08 2018,4000.00,266
2D Lotto 5PM,16 May,6 08 2018,4000.00,89
Ultra Lotto 6/58,49-31-39-05-41-43,6 08 2018,154272556.00,0
Superlotto 6/49,44-09-36-03-08-33,6 07 2018,37683883.00,0
6D Lotto,5-0-4-1-1-4,6 07 2018,12758884.94,0
3D Lotto 2PM,9 02 2005,6 07 2018,4500.00,757
3D Lotto 5PM,5 06 2009,6 07 2018,4500.00,573
3D Lotto 9PM,2 05 2000,6 07 2018,4500.00,1242
2D Lotto 9PM,15-29,6 07 2018,4000.00,337
Lotto 6/42,11-29-36-33-35-27,6 07 2018,9270020.00,0
2D Lotto 2PM,29-24,6 07 2018,4000.00,84
2D Lotto 5PM,21-24,6 07 2018,4000.00,162
Megalotto 6/45,37-33-28-42-18-38,6 06 2018,13530437.00,0
4D Lotto,2-7-2-4,6 06 2018,10000.00,88
3D Lotto 2PM,7-0-1,6 06 2018,4500.00,426
3D Lotto 5PM,9 05 2001,6 06 2018,4500.00,293
3D Lotto 9PM,1 03 2000,6 06 2018,4500.00,1231
2D Lotto 9PM,6 Jan,6 06 2018,4000.00,609
2D Lotto 2PM,18 Apr,6 06 2018,4000.00,232
2D Lotto 5PM,23-29,6 06 2018,4000.00,150
Grand Lotto 6/55,02-26-19-17-01-23,6 06 2018,29700000.00,1
Superlotto 6/49,05-01-25-36-39-13,6 05 2018,34195119.00,0
6D Lotto,6-3-9-2-7-7,6 05 2018,12257168.24,0
3D Lotto 2PM,8-0-3,6 05 2018,4500.00,160
3D Lotto 5PM,8 07 2002,6 05 2018,4500.00,275
3D Lotto 9PM,0-7-3,6 05 2018,4500.00,256
2D Lotto 9PM,16 May,6 05 2018,4000.00,625
Lotto 6/42,26-24-01-17-41-30,6 05 2018,6943916.00,0
2D Lotto 2PM,25-17,6 05 2018,4000.00,147
2D Lotto 5PM,2 Apr,6 05 2018,4000.00,246
Ultra Lotto 6/58,44-35-39-34-03-50,6 05 2018,148609676.00,0
Megalotto 6/45,18-41-02-32-06-12,6 04 2018,10748244.00,0
4D Lotto,4-6-1-5,6 04 2018,19556.00,34
3D Lotto 2PM,0-8-3,6 04 2018,4500.00,93
3D Lotto 5PM,6 03 2001,6 04 2018,4500.00,706
3D Lotto 9PM,4 06 2004,6 04 2018,4500.00,722
2D Lotto 9PM,10 Apr,6 04 2018,4000.00,606
2D Lotto 2PM,Aug 19,6 04 2018,4000.00,255
2D Lotto 5PM,18-26,6 04 2018,4000.00,237
Grand Lotto 6/55,44-46-10-21-41-27,6 04 2018,29700000.00,0
Superlotto 6/49,23-19-27-30-41-03,6 03 2018,31649374.00,0
3D Lotto 2PM,2 01 2008,6 03 2018,4500.00,1025
3D Lotto 5PM,7 02 2003,6 03 2018,4500.00,702
3D Lotto 9PM,2 02 2008,6 03 2018,4500.00,1226
2D Lotto 9PM,May 13,6 03 2018,4000.00,662
2D Lotto 2PM,26 Apr,6 03 2018,4000.00,85
2D Lotto 5PM,25 Jul,6 03 2018,4000.00,161
Ultra Lotto 6/58,01-53-27-11-43-18,6 03 2018,143924112.00,0
6D Lotto,7-4-6-3-9-3,6 02 2018,11886937.52,0
3D Lotto 2PM,0-8-6,6 02 2018,4500.00,89
3D Lotto 5PM,3 04 2003,6 02 2018,4500.00,372
3D Lotto 9PM,0-0-9,6 02 2018,4500.00,507
2D Lotto 9PM,12 Sep,6 02 2018,4000.00,508
Lotto 6/42,23-35-24-25-29-17,6 02 2018,5940000.00,0
2D Lotto 2PM,27-18,6 02 2018,4000.00,243
2D Lotto 5PM,10 Jun,6 02 2018,4000.00,253
Grand Lotto 6/55,41-42-35-37-16-49,6 02 2018,29700000.00,0
Megalotto 6/45,43-17-26-11-27-31,6 01 2018,8910000.00,0
4D Lotto,5-2-4-9,6 01 2018,23339.00,37
3D Lotto 2PM,6 08 2002,6 01 2018,4500.00,211
3D Lotto 5PM,3 04 2007,6 01 2018,4500.00,414
3D Lotto 9PM,1 02 2006,6 01 2018,4500.00,1233
2D Lotto 9PM,27 Jan,6 01 2018,4000.00,279
2D Lotto 2PM,May 21,6 01 2018,4000.00,310
2D Lotto 5PM,28 Sep,6 01 2018,4000.00,93
Ultra Lotto 6/58,26-08-43-22-27-12,6 01 2018,138783220.00,0
Superlotto 6/49,24-12-19-10-42-38,5/31/2018,28523904.00,0
6D Lotto,2-0-8-9-3-1,5/31/2018,11338359.94,0
3D Lotto 2PM,8 08 2004,5/31/2018,4500.00,199
3D Lotto 5PM,3-0-8,5/31/2018,4500.00,471
3D Lotto 9PM,3 08 2008,5/31/2018,4500.00,1123
2D Lotto 9PM,14-31,5/31/2018,4000.00,508
Lotto 6/42,31-03-36-15-24-30,5/31/2018,5940000.00,0
2D Lotto 2PM,30 Apr,5/31/2018,4000.00,242
2D Lotto 5PM,Sep 27,5/31/2018,4000.00,233
Megalotto 6/45,40-04-21-24-02-39,5/30/2018,8910000.00,0
4D Lotto,7-6-7-8,5/30/2018,35062.00,26
3D Lotto 2PM,6 07 2006,5/30/2018,4500.00,389
3D Lotto 5PM,5 07 2003,5/30/2018,4500.00,373
3D Lotto 9PM,0-2-0,5/30/2018,4500.00,392
2D Lotto 9PM,21 Jan,5/30/2018,4000.00,180
2D Lotto 2PM,9 Nov,5/30/2018,4000.00,250
2D Lotto 5PM,21-27,5/30/2018,4000.00,130
Grand Lotto 6/55,14-39-09-53-15-55,5/30/2018,29700000.00,0
Superlotto 6/49,45-15-31-39-35-10,5/29/2018,25309818.00,0
6D Lotto,6-6-9-2-3-4,5/29/2018,10948696.54,0
3D Lotto 2PM,8 09 2000,5/29/2018,4500.00,553
3D Lotto 5PM,0-8-6,5/29/2018,4500.00,483
3D Lotto 9PM,2 09 2007,5/29/2018,4500.00,632
2D Lotto 9PM,Mar 31,5/29/2018,4000.00,678
Lotto 6/42,14-33-01-13-28-40,5/29/2018,19845521.00,1
2D Lotto 2PM,Jan 26,5/29/2018,4000.00,262
2D Lotto 5PM,Feb 31,5/29/2018,4000.00,140
Ultra Lotto 6/58,25-49-10-37-26-06,5/29/2018,133174580.00,0
Megalotto 6/45,35-20-19-37-26-44,5/28/2018,8910000.00,0
4D Lotto,4-0-0-7,5/28/2018,95473.00,9
3D Lotto 2PM,7 02 2004,5/28/2018,4500.00,1137
3D Lotto 5PM,7 09 2004,5/28/2018,4500.00,431
3D Lotto 9PM,7 07 2005,5/28/2018,4500.00,506
2D Lotto 9PM,13 Feb,5/28/2018,4000.00,187
2D Lotto 2PM,23 Dec,5/28/2018,4000.00,87
2D Lotto 5PM,18-24,5/28/2018,4000.00,235
Grand Lotto 6/55,05-23-07-46-28-42,5/28/2018,29700000.00,0
Superlotto 6/49,35-49-41-28-33-40,5/27/2018,23045644.00,0
3D Lotto 2PM,3 08 2005,5/27/2018,4500.00,341
3D Lotto 5PM,1 07 2008,5/27/2018,4500.00,629
3D Lotto 9PM,4 01 2001,5/27/2018,4500.00,832
2D Lotto 9PM,Apr 27,5/27/2018,4000.00,656
2D Lotto 2PM,23-26,5/27/2018,4000.00,155
2D Lotto 5PM,Mar 28,5/27/2018,4000.00,234
Ultra Lotto 6/58,34-45-14-40-01-13,5/27/2018,128900984.00,0
6D Lotto,5-6-4-7-5-2,5/26/2018,10465041.90,0
3D Lotto 2PM,6 06 2008,5/26/2018,4500.00,336
3D Lotto 5PM,0-0-7,5/26/2018,4500.00,195
3D Lotto 9PM,1 01 2002,5/26/2018,4500.00,1229
2D Lotto 9PM,Aug 17,5/26/2018,4000.00,573
Lotto 6/42,16-13-38-34-21-23,5/26/2018,17308376.00,0
2D Lotto 2PM,7 Nov,5/26/2018,4000.00,336
2D Lotto 5PM,25-22,5/26/2018,4000.00,94
Grand Lotto 6/55,31-40-28-44-05-41,5/26/2018,29700000.00,0
Megalotto 6/45,34-12-22-15-20-27,5/25/2018,15898612.00,1
4D Lotto,8-0-3-1,5/25/2018,24726.00,28
3D Lotto 2PM,5 04 2003,5/25/2018,4500.00,713
3D Lotto 5PM,4 01 2007,5/25/2018,4500.00,941
3D Lotto 9PM,8-0-5,5/25/2018,4500.00,752
2D Lotto 9PM,14 Oct,5/25/2018,4000.00,482
2D Lotto 2PM,8 Jul,5/25/2018,4000.00,255
2D Lotto 5PM,22-24,5/25/2018,4000.00,156
Ultra Lotto 6/58,34-14-19-22-10-43,5/25/2018,124321564.00,0
Superlotto 6/49,26-34-21-16-31-23,5/24/2018,20192678.00,0
6D Lotto,6-0-6-7-9-2,5/24/2018,10145196.02,0
3D Lotto 2PM,9 03 2005,5/24/2018,4500.00,256
3D Lotto 5PM,5 08 2006,5/24/2018,4500.00,493
3D Lotto 9PM,6 03 2003,5/24/2018,4500.00,800
2D Lotto 9PM,13-26,5/24/2018,4000.00,625
Lotto 6/42,30-29-15-02-37-27,5/24/2018,14420602.00,0
2D Lotto 2PM,31 Mar,5/24/2018,4000.00,65
2D Lotto 5PM,18 Aug,5/24/2018,4000.00,239
Megalotto 6/45,17-01-40-43-04-05,5/23/2018,13056980.00,0
4D Lotto,2-4-3-4,5/23/2018,28695.00,31
3D Lotto 2PM,9 08 2004,5/23/2018,4500.00,139
3D Lotto 5PM,8-0-3,5/23/2018,4500.00,320
3D Lotto 9PM,9 08 2001,5/23/2018,4500.00,546
2D Lotto 9PM,Dec 14,5/23/2018,4000.00,491
2D Lotto 2PM,Mar 15,5/23/2018,4000.00,265
2D Lotto 5PM,Mar 25,5/23/2018,4000.00,247
Grand Lotto 6/55,20-49-50-39-24-47,5/23/2018,29700000.00,0
Superlotto 6/49,10-46-33-11-47-29,5/22/2018,17289246.00,0
6D Lotto,6-6-3-3-7-9,5/22/2018,9593041.90,0
3D Lotto 2PM,5 09 2001,5/22/2018,4500.00,197
3D Lotto 5PM,9 06 2001,5/22/2018,4500.00,613
3D Lotto 9PM,6 04 2002,5/22/2018,4500.00,601
2D Lotto 9PM,24-15,5/22/2018,4000.00,225
Lotto 6/42,11-30-26-33-29-08,5/22/2018,11772839.00,0
2D Lotto 2PM,11 Mar,5/22/2018,4000.00,277
2D Lotto 5PM,20-16,5/22/2018,4000.00,62
Ultra Lotto 6/58,32-57-01-49-09-19,5/22/2018,119378952.00,0
Megalotto 6/45,36-45-12-21-39-38,5/21/2018,10376602.00,0
4D Lotto,6-4-0-1,5/21/2018,25363.00,36
3D Lotto 2PM,4 02 2006,5/21/2018,4500.00,780
3D Lotto 5PM,2 08 2007,5/21/2018,4500.00,474
3D Lotto 9PM,2 03 2009,5/21/2018,4500.00,1085
2D Lotto 9PM,Apr 17,5/21/2018,4000.00,661
2D Lotto 2PM,22-28,5/21/2018,4000.00,307
2D Lotto 5PM,15 Mar,5/21/2018,4000.00,188
Grand Lotto 6/55,30-27-18-43-26-11,5/21/2018,29700000.00,0
Superlotto 6/49,03-19-40-23-45-07,5/20/2018,15840000.00,0
3D Lotto 2PM,9 02 2009,5/20/2018,4500.00,612
3D Lotto 5PM,2 06 2006,5/20/2018,4500.00,723
3D Lotto 9PM,0-9-3,5/20/2018,4500.00,351
2D Lotto 9PM,24-22,5/20/2018,4000.00,223
2D Lotto 2PM,19-23,5/20/2018,4000.00,229
2D Lotto 5PM,16 Nov,5/20/2018,4000.00,93
Ultra Lotto 6/58,09-23-07-37-32-40,5/20/2018,115266992.00,0
6D Lotto,6-9-2-3-1-9,5/19/2018,8953596.04,0
3D Lotto 2PM,5 08 2009,5/19/2018,4500.00,820
3D Lotto 5PM,8 09 2004,5/19/2018,4500.00,187
3D Lotto 9PM,8 08 2008,5/19/2018,4500.00,1091
2D Lotto 9PM,28 Aug,5/19/2018,4000.00,510
Lotto 6/42,16-38-18-08-04-29,5/19/2018,9451202.00,0
2D Lotto 2PM,Nov 28,5/19/2018,4000.00,252
2D Lotto 5PM,25-31,5/19/2018,4000.00,55
Grand Lotto 6/55,12-55-10-05-43-19,5/19/2018,126181744.00,2
Megalotto 6/45,18-26-35-21-07-32,5/18/2018,8910000.00,0
4D Lotto,5-5-5-5,5/18/2018,10000.00,180
3D Lotto 2PM,5 08 2005,5/18/2018,4500.00,816
3D Lotto 5PM,3 02 2001,5/18/2018,4500.00,885
3D Lotto 9PM,7 01 2006,5/18/2018,4500.00,865
2D Lotto 9PM,31-25,5/18/2018,4000.00,172
2D Lotto 2PM,Aug 18,5/18/2018,4000.00,297
2D Lotto 5PM,Aug 20,5/18/2018,4000.00,309
Ultra Lotto 6/58,25-26-36-03-33-56,5/18/2018,111122872.00,0
Superlotto 6/49,23-31-28-48-49-17,5/17/2018,15840000.00,0
6D Lotto,3-7-5-0-8-1,5/17/2018,8706607.18,0
3D Lotto 2PM,8 04 2006,5/17/2018,4500.00,673
3D Lotto 5PM,4 02 2002,5/17/2018,4500.00,801
3D Lotto 9PM,0-5-2,5/17/2018,4500.00,385
2D Lotto 9PM,22 Jun,5/17/2018,4000.00,252
Lotto 6/42,18-05-33-14-30-06,5/17/2018,7004765.00,0
2D Lotto 2PM,Jul 20,5/17/2018,4000.00,304
2D Lotto 5PM,20-30,5/17/2018,4000.00,224
Megalotto 6/45,38-32-23-40-17-45,5/16/2018,8910000.00,0
4D Lotto,3-1-1-5,5/16/2018,10000.00,75
3D Lotto 2PM,5 04 2006,5/16/2018,4500.00,699
3D Lotto 5PM,8 03 2000,5/16/2018,4500.00,506
3D Lotto 9PM,3 07 2008,5/16/2018,4500.00,734
2D Lotto 9PM,13 Feb,5/16/2018,4000.00,497
2D Lotto 2PM,19 Apr,5/16/2018,4000.00,240
2D Lotto 5PM,4 Jul,5/16/2018,4000.00,426
Grand Lotto 6/55,39-38-10-34-46-12,5/16/2018,120916304.00,0
Superlotto 6/49,17-23-05-33-36-22,5/15/2018,15840000.00,0
6D Lotto,7-7-7-8-1-4,5/15/2018,8188404.40,0
3D Lotto 2PM,5 01 2009,5/15/2018,4500.00,991
3D Lotto 5PM,9 04 2005,5/15/2018,4500.00,571
3D Lotto 9PM,4 07 2005,5/15/2018,4500.00,1018
2D Lotto 9PM,13-24,5/15/2018,4000.00,390
Lotto 6/42,42-38-10-13-40-03,5/15/2018,5940000.00,0
2D Lotto 2PM,23 Nov,5/15/2018,4000.00,192
2D Lotto 5PM,16 Jul,5/15/2018,4000.00,144
Ultra Lotto 6/58,32-15-23-10-18-22,5/15/2018,106590252.00,0
Megalotto 6/45,15-37-42-07-43-01,5/14/2018,8910000.00,0
4D Lotto,5-3-6-4,5/14/2018,16891.00,46
3D Lotto 2PM,1 03 2003,5/14/2018,4500.00,311
3D Lotto 5PM,8 01 2008,5/14/2018,4500.00,891
3D Lotto 9PM,7 01 2000,5/14/2018,4500.00,819
2D Lotto 9PM,20 Dec,5/14/2018,4000.00,119
2D Lotto 2PM,Sep 19,5/14/2018,4000.00,238
2D Lotto 5PM,31 Jan,5/14/2018,4000.00,49
Grand Lotto 6/55,07-33-03-08-32-25,5/14/2018,115955964.00,0
Superlotto 6/49,19-42-08-23-14-21,5/13/2018,15840000.00,0
3D Lotto 2PM,0-4-6,5/13/2018,4500.00,304
3D Lotto 5PM,2 07 2009,5/13/2018,4500.00,421
3D Lotto 9PM,7 06 2007,5/13/2018,4500.00,653
2D Lotto 9PM,31-17,5/13/2018,4000.00,116
2D Lotto 2PM,23 Sep,5/13/2018,4000.00,236
2D Lotto 5PM,23-15,5/13/2018,4000.00,107
Ultra Lotto 6/58,46-11-21-24-19-57,5/13/2018,103138604.00,0
6D Lotto,9-3-9-2-6-7,5 12 2018,7886200.82,0
3D Lotto 2PM,0-2-5,5 12 2018,4500.00,700
3D Lotto 5PM,6 08 2002,5 12 2018,4500.00,504
3D Lotto 9PM,1 09 2007,5 12 2018,4500.00,880
2D Lotto 9PM,26 Apr,5 12 2018,4000.00,671
Lotto 6/42,15-40-24-25-16-39,5 12 2018,5940000.00,0
2D Lotto 2PM,11 Nov,5 12 2018,4000.00,592
2D Lotto 5PM,5 Jul,5 12 2018,4000.00,425
Grand Lotto 6/55,30-26-39-03-47-10,5 12 2018,112241480.00,0
Megalotto 6/45,24-10-28-15-25-12,5 11 2018,49357401.00,2
4D Lotto,4-8-0-4,5 11 2018,99231.00,9
3D Lotto 2PM,9 05 2003,5 11 2018,4500.00,191
3D Lotto 5PM,5 06 2001,5 11 2018,4500.00,520
3D Lotto 9PM,2 06 2002,5 11 2018,4500.00,744
2D Lotto 9PM,22 Jun,5 11 2018,4000.00,430
2D Lotto 2PM,24-25,5 11 2018,4000.00,206
2D Lotto 5PM,Oct 29,5 11 2018,4000.00,240
